,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,23.849131122712166,24.70902689041629,22.016249031148927,20.810567240561202,21.16278895716513,20.746217789188503,19.19705960497878,19.341969397760202,20.54832038059029,21.727248727121655
Hour 2,23.349331763482862,20.598205689461,29.475630421792307,28.020835630355343,26.101864845521987,26.859395939816714,24.662810180593745,22.88011876998409,22.904428092382286,22.043716541413335
Hour 3,23.327223685479932,32.00276227151194,26.632104094310474,31.972950473908455,28.91878888530116,28.00913931733819,27.083716124433526,25.99794590857721,29.377267003486654,36.50628339705928
Hour 4,49.55734615941201,34.125312866703155,30.599516776300238,32.57222864704747,36.59136151959819,38.195253269646756,36.50131820643552,33.801902955578214,32.40546434327265,38.926521682739256
Hour 5,24.914480824624338,39.17945215778964,34.513101024012414,32.25926799158896,32.33924324281753,33.15542266189411,32.92970185345768,32.73436786282446,32.23377796569604,40.84595275386686
Hour 6,24.678037520377867,20.507901591639364,24.55220936190699,24.685254189275934,25.781227247176638,24.969470916255833,26.412313610727335,28.866868665141443,32.59926482853496,37.783928643503494
Hour 7,23.826685259419104,28.119417129024374,24.35345284656811,22.51755308335827,25.84015126382151,24.370294714486725,26.932430847449236,26.750958842615923,26.341700755567096,32.80765784478955
Hour 8,60.55560007402972,41.68982745755102,36.380433236399,31.4047622680664,28.85901791972498,27.94130721143496,27.596593742546393,26.76555258227932,27.575450199906534,29.638312764321594
Hour 9,25.312592967864006,35.58911182034399,30.157133594635987,26.96383002496534,26.06638587213331,27.928320156630644,26.678449410996674,26.661891506564228,27.988751907075176,35.59265503421906
Hour 10,23.586731818414503,20.500630101849957,19.228938625704856,18.560692694879357,20.0197367268224,20.59537940896968,21.87127544912875,21.73005085606729,22.773194145558136,22.580173110961926
Hour 11,24.217431345293598,20.64549821422946,19.290067918838993,18.18767221512333,17.262997781076738,16.14564194217805,15.251981858284243,14.512067364108178,13.333720654996917,16.66048787024713
Hour 12,22.956424467025265,20.526735551895634,19.268590804069273,18.135754062283425,17.2319154431743,16.45095665224137,15.686205710134198,14.826852490825038,13.658728015038275,13.024461401662515
Hour 13,23.67249857994818,20.54703140258789,19.222516521330803,17.980763650709584,17.979458704302388,17.579761217999206,16.674960958243517,16.76996095718876,15.642890526829655,16.16197091379473
Hour 14,24.14036258574455,20.70880748379615,19.112232331306704,18.852690050678877,18.72817534169844,18.698702350739516,18.673599603538694,18.59688500435122,18.05014407250189,17.091698578865294
Hour 15,24.79020094102429,22.0608703244117,20.334839174824378,19.2366883677821,18.352887799662927,17.595667562177105,16.91663877425655,16.915156518259348,16.32597651191082,18.68661384582519
Hour 16,25.739170812791393,23.235852579916678,21.71150896626134,20.31270230200983,19.309439259190714,18.56460860467726,17.88981443835843,17.013470188263923,16.793632131323587,15.115346108713451
Hour 17,25.517157954554403,22.78850592336347,21.51526408041677,20.355195137762255,19.385300851637318,18.500051682995213,17.614998848207534,16.797051952731223,15.989531294846618,15.710745768393235
Hour 18,24.71079235692178,22.01202017261136,20.293273310507498,19.251380120554277,18.429874051001764,17.591117366667717,16.734400349278605,16.01734838178081,14.792991392074093,13.438944711992816
Hour 19,27.406213821903354,23.1332030757781,21.4719481929656,20.147323792980565,19.232418921685987,18.228692085512222,17.309405542189076,16.105604479389807,15.316484143657068,14.142277219218592
Hour 20,29.10506765304073,24.471444160707534,21.76991887246409,20.25719525737147,19.12131247981902,17.94486464223554,16.841494652532763,15.896372333649666,15.153915336909687,15.88833191164078
Hour 21,27.643198813161543,23.600342104511878,21.859540262529926,20.283440189976847,19.116781050159084,17.643218932613248,16.759251625307144,15.814828441989038,15.29512192100607,16.725428230531758
Hour 22,26.520335351267168,21.82479489234186,20.119436817784464,18.970584008001513,17.78470020909463,16.901937423213834,15.813397315240675,14.809558991462954,13.777745400705644,19.047638874669232
Hour 23,24.430335752425655,20.549545841832316,22.84147393831642,20.81934750464654,19.724314314319237,18.60110248032436,19.09576816822527,18.61119116506269,17.45349529908977,21.834378568587766
Hour 24,33.17621932491179,32.77844109073762,31.20693563645886,28.24418067932129,28.96484926285283,28.257069741525964,28.007768666139945,30.41303167035502,29.30445640317855,36.27284646803333
