,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05
Hour 1,23.955114364624023,21.05613136291504,18.509244918823242,17.7036190032959,17.053979873657227,17.020301818847656,15.628816604614258,14.79963493347168,13.790887832641602,9.383445739746094
Hour 2,23.20857810974121,20.86176872253418,19.712566375732422,17.022714614868164,14.095632553100586,13.617748260498047,12.084571838378906,11.495018005371094,9.877696990966797,8.139766693115234
Hour 3,24.04298210144043,17.46129608154297,15.57182502746582,13.416753768920898,12.952165603637695,12.359319686889648,10.89727783203125,10.50821304321289,9.60792350769043,7.699710845947266
Hour 4,32.2158203125,20.295454025268555,18.563053131103516,16.030086517333984,15.665449142456055,14.21822738647461,12.687923431396484,11.072059631347656,9.752674102783203,7.607271194458008
Hour 5,24.9298038482666,20.7128963470459,18.190555572509766,16.64760971069336,16.36264419555664,15.7149658203125,15.354757308959961,14.70142936706543,14.202520370483398,12.688844680786133
Hour 6,27.37299919128418,21.229263305664062,19.558612823486328,18.772106170654297,17.791540145874023,16.889833450317383,15.276613235473633,14.385046005249023,13.196624755859375,9.525583267211914
Hour 7,29.919767379760742,23.73090362548828,21.97669219970703,21.386167526245117,18.741491317749023,18.205127716064453,17.766965866088867,17.26063346862793,15.60844612121582,13.677335739135742
Hour 8,31.120128631591797,22.026582717895508,21.67778968811035,19.97407341003418,19.25733184814453,18.75636863708496,17.39365005493164,16.433515548706055,15.275230407714844,11.244888305664062
Hour 9,31.071104049682617,24.48639678955078,20.93269920349121,20.3914852142334,19.291112899780273,18.956151962280273,17.876008987426758,17.200904846191406,15.101861953735352,14.443405151367188
Hour 10,28.506221771240234,21.926782608032227,19.696582794189453,18.875337600708008,18.590988159179688,17.976537704467773,17.32845687866211,16.0612850189209,13.775819778442383,11.781179428100586
Hour 11,27.644474029541016,23.039813995361328,22.09992027282715,19.590839385986328,18.681182861328125,17.619014739990234,16.967243194580078,16.14586067199707,15.359125137329102,13.88654899597168
Hour 12,20.977554321289062,20.16103744506836,19.406375885009766,19.285303115844727,18.080339431762695,18.01333236694336,16.486377716064453,15.864906311035156,13.649177551269531,11.798294067382812
Hour 13,27.104690551757812,21.578853607177734,21.462881088256836,21.11442756652832,18.769683837890625,17.287384033203125,16.624900817871094,15.750244140625,14.16943359375,12.950958251953125
Hour 14,35.84185028076172,25.940675735473633,20.322240829467773,19.247262954711914,18.12273597717285,17.85637092590332,17.172256469726562,16.4925594329834,15.661130905151367,15.12928581237793
Hour 15,34.89527893066406,24.689289093017578,23.269533157348633,21.349140167236328,20.189655303955078,19.272689819335938,18.671817779541016,18.516475677490234,17.608108520507812,13.643989562988281
Hour 16,25.669464111328125,24.18647575378418,23.572185516357422,22.328521728515625,21.789283752441406,20.294912338256836,19.552717208862305,19.29627227783203,17.814294815063477,16.38111686706543
Hour 17,42.12169647216797,25.2136287689209,23.280014038085938,22.55905532836914,21.229717254638672,20.6009521484375,19.409053802490234,18.79041290283203,18.218490600585938,14.765336990356445
Hour 18,27.162389755249023,24.929292678833008,22.172529220581055,20.88718032836914,19.752233505249023,19.299762725830078,18.121618270874023,15.528108596801758,15.007844924926758,9.80767822265625
Hour 19,31.29108428955078,31.216014862060547,24.743648529052734,22.732446670532227,22.444761276245117,21.555219650268555,21.42660903930664,19.14124870300293,18.098861694335938,14.737287521362305
Hour 20,30.84058952331543,29.36867332458496,26.226104736328125,25.027462005615234,24.909040451049805,24.675722122192383,23.11346435546875,22.046030044555664,19.808454513549805,14.736595153808594
Hour 21,29.78131675720215,24.658855438232422,24.466896057128906,23.510892868041992,22.391721725463867,20.984209060668945,20.77134895324707,50.79840469360418,66.23497433132655,85.4205604553228
Hour 22,33.49821853637695,27.357070922851562,22.213241577148438,20.781375885009766,20.350582122802734,69.51333745320639,96.8457418169294,187.33195114135742,215.14162317911783,242.0079574584961
Hour 23,29.440635681152344,509.00150108337647,422.7587928771989,474.038700103761,423.1097991943369,374.1873448689787,330.8919666835247,294.3458824157721,267.1367293463818,269.3449234008794
Hour 24,29.013980865478516,26.305736541748047,33.27250734964863,48.43376541137587,204.72055358886632,334.8741734822584,330.8925217219755,319.4299774169916,300.1682256062821,270.63645706176715
