Date,AAPL,SPX
6/11/2023,179.23,4365.98
7/11/2023,181.82,4378.38
8/11/2023,182.89,4382.78
9/11/2023,182.41,4347.35
10/11/2023,186.4,4415.24
13/11/2023,184.8,4411.55
14/11/2023,187.44,4495.7
15/11/2023,188.01,4502.88
16/11/2023,189.71,4508.24
17/11/2023,189.69,4514.02
20/11/2023,191.45,4547.38
21/11/2023,190.64,4538.19
22/11/2023,191.31,4556.62
24/11/2023,189.97,4559.34
27/11/2023,189.79,4550.43
28/11/2023,190.4,4554.89
29/11/2023,189.37,4550.58
30/11/2023,189.95,4567.8
1/12/2023,191.24,4594.63
4/12/2023,189.43,4569.78
5/12/2023,193.42,4567.18
6/12/2023,192.32,4549.34
7/12/2023,194.27,4585.59
8/12/2023,195.71,4604.37
11/12/2023,193.18,4622.44
12/12/2023,194.71,4643.7
13/12/2023,197.96,4707.09
14/12/2023,198.11,4719.55
15/12/2023,197.57,4719.19
18/12/2023,195.89,4740.56
19/12/2023,196.94,4768.37
20/12/2023,194.83,4698.35
21/12/2023,194.68,4746.75
22/12/2023,193.6,4754.63
26/12/2023,193.05,4774.75
27/12/2023,193.15,4781.58
28/12/2023,193.58,4783.35
29/12/2023,192.53,4769.83
2/1/2024,185.64,4742.83
3/1/2024,184.25,4704.81
4/1/2024,181.91,4688.68
5/1/2024,181.18,4697.24
8/1/2024,185.56,4763.54
9/1/2024,185.14,4756.5
10/1/2024,186.19,4783.45
11/1/2024,185.59,4780.24
12/1/2024,185.92,4783.83
16/1/2024,183.63,4765.98
17/1/2024,182.68,4739.21
18/1/2024,188.63,4780.94
19/1/2024,191.56,4839.81
22/1/2024,195.18,4857.85
