,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 1,0.05651223182678223,0.10137102127075195,0.14755757331848143,0.19114089965820313,0.21886305809020998,0.25545862197875974,0.2685449314117432,0.27479698181152346,0.30692118644714356,0.33318538665771485,0.572906494140625,0.42893619537353556,0.4122293472290043,0.4023294067382816,0.35855360031127964,0.3129269027709964,0.265425491333008,0.2391674041748049,0.18888828277587907,0.13954467773437512,0.07047550201416022
Hour 2,0.05091096725463867,0.08482181243896485,0.11638251800537108,0.145500634765625,0.18022393417358398,0.20362940826416015,0.2039887035369873,0.22914061279296874,0.255905643081665,0.26300390625,2.5098172760009767,0.4547256622314457,0.44095809402465863,0.43203614501953164,0.4210136520385746,0.36417778930664096,0.3138694839477542,0.2812127746582034,0.21587511520385763,0.15112690277099622,0.07695921096801765
Hour 3,0.09653306102752686,0.12826836776733397,0.17407080459594726,0.18806188964843748,0.23413670539855957,0.24028310394287106,0.2761127681732178,0.3114578704833984,0.30815917396545406,0.31156145095825194,2.5166858673095707,0.36477321624755893,0.3478251228332523,0.33565020751953156,0.30089649963378934,0.29924276733398464,0.2520328712463381,0.21888391113281272,0.16559773635864272,0.12481339263916028,0.06366241836547858
Hour 4,0.06992086124420166,0.12584812545776367,0.16516817665100095,0.18435612487792966,0.22875419616699216,0.2712415809631347,0.247001594543457,0.25974572753906244,0.22250740814208977,0.222196979522705,0.6378553390502937,0.2917946624755863,0.2919813079833988,0.3320929565429691,0.31109635925293,0.26711430358886745,0.261259689331055,0.2116428680419924,0.16532555007934588,0.12051915740966809,0.061713550567627014
Hour 5,0.06609064331054688,0.12754885177612305,0.19004156799316407,0.23968460998535157,0.27815147590637207,0.3017499298095703,0.3418078392028809,0.38478845520019533,0.4208801570892334,0.17451183700561526,1.4564201736450197,0.21546456909179704,0.27994689788818383,0.3326000793457034,0.29398628540039085,0.2718309265136721,0.2286723976135256,0.18662291564941422,0.16099742202758802,0.11199981231689463,0.056479566192627
Hour 6,0.0743889654159546,0.1408541561126709,0.2069782699584961,0.2374473526000977,0.2899827423095704,0.34348971633911135,0.3941385189056397,0.41648505249023443,0.43565836830139165,0.43460367965698254,1.118817214965821,0.3418563003540041,0.323728047180176,0.2942504211425783,0.2715874656677248,0.25227110595703145,0.22155299758911148,0.17942913513183606,0.13514605865478524,0.09034166564941412,0.05200356597900394
Hour 7,0.11205753688812255,0.18162482032775878,0.2498295558929443,0.32516051788330075,0.3904534759521484,0.4560244491577148,0.5279726902008056,0.5122701934814452,0.5696799842834471,0.6044397239685058,2.259858970642089,0.07573004913330095,0.14460386352539084,0.14318901977539084,0.16313331451416038,0.1478374740600588,0.12605596160888688,0.11128918151855482,0.08377313003540049,0.07559339752197275,0.040335551452636766
Hour 8,0.1002537321090698,0.18287603836059568,0.2685888072967529,0.3574531646728515,0.4210070247650146,0.4668881172180175,0.5141182582855224,0.5576240722656249,0.6208334747314451,0.6779664268493651,2.523246994018553,0.3015612182617158,0.02518785324096696,0.12796247558593773,0.13075998611450218,0.15736151275634788,0.1389449005126955,0.13795661010742205,0.11184527664184585,0.07834182281494151,0.04384147415161138
Hour 9,0.12023635005950929,0.19992476654052738,0.29378278541564945,0.3304047622680665,0.40453651428222664,0.4802851066589356,0.5594638462066652,0.6206914978027345,0.6627560462951662,0.6375753021240236,1.3937908172607436,0.17031978607177736,0.1814430198669434,0.23183505249023448,0.2029522018432618,0.17437548065185554,0.20887929916381848,0.1930030975341798,0.1715738983154298,0.11635937500000007,0.07026262664794927
Hour 10,0.08602141609191893,0.1705877159118652,0.2472192260742187,0.3179304595947265,0.3506300086975097,0.4187820762634276,0.47697001152038565,0.5131653015136718,0.5099721542358396,0.48969747924804674,1.9775049591064437,0.3365098724365239,0.3153920539855961,0.30021314697265666,0.27020510025024447,0.2625661331176761,0.24411276626586945,0.19761748352050806,0.16313386230468768,0.10956016082763685,0.08876052627563485
Hour 11,0.08902878875732423,0.16457750549316408,0.2396197734832764,0.286654476928711,0.35323362922668466,0.4197868606567383,0.41756403770446787,0.45751839599609384,0.5002467544555664,0.5264188880920412,0.5329180908203135,0.3857256774902346,0.3567616836547854,0.34197104492187524,0.30330352935791033,0.2734804275512697,0.23948549652099627,0.19827014465332046,0.1551627410888673,0.10563146362304694,0.05429457550048832
Hour 12,0.07590360870361326,0.1501271102905273,0.213127505493164,0.2591782852172851,0.31682010841369623,0.36985217514038077,0.42572084121704096,0.44189760131835926,0.46035978469848615,0.5066560974121093,1.453099975585939,0.23755509948730505,0.3496175559997563,0.3369543273925785,0.296303294372559,0.2613363510131839,0.24650486755371123,0.2235533813476565,0.17212102203369162,0.12075698394775404,0.07487308273315438
Hour 13,0.09773967628479004,0.17830077896118163,0.2671817459106445,0.350319514465332,0.43448247337341306,0.47802525787353506,0.5564876285552979,0.6286882690429687,0.7012004940032958,0.6969037895202637,2.191054229736327,0.215899955749512,0.23663856582641632,0.25582879028320343,0.23981237258911162,0.2152581665039065,0.18651595687866232,0.17377598266601582,0.13673644409179703,0.09993376007080089,0.11976433868408215
Hour 14,0.10997624092102051,0.20596255645751954,0.2660885719299316,0.3400916168212891,0.4198416080474854,0.48923994140625,0.5621556354522705,0.5774967712402344,0.5837295066833496,0.6055204086303712,0.6196171569824216,0.9002460403442377,0.2847565544128421,0.2622246032714846,0.2397805427551272,0.2135777847290041,0.17939044570922869,0.14631951599121107,0.12826436004638683,0.09746353759765634,0.10753271408081065
Hour 15,0.11258242797851561,0.21708246612548826,0.3108624229431152,0.38504944610595704,0.47338114738464354,0.5223922462463378,0.5649848403930664,0.6390670928955078,0.6347506599426269,0.6491115760803222,2.2324459075927727,0.0708124923706056,0.2360693092346194,0.2411089172363284,0.21960561370849635,0.2053649597167971,0.17527965545654317,0.14349467468261734,0.11223595046997083,0.07904462432861337,0.04580414581298833
Hour 16,0.10367132511138916,0.20200843505859375,0.2791585018157959,0.3548778472900391,0.4379877014160156,0.5211705116271972,0.5680927646636963,0.6288480255126954,0.7006697994232177,0.6963303413391113,0.4808596038818358,0.5332947692871091,0.23060355606079122,0.20927277832031269,0.18984868164062518,0.19554921112060564,0.1859975891113283,0.18302208557128924,0.145579323577881,0.10033035583496103,0.05117834243774419
Hour 17,0.10347505931854248,0.18379793891906737,0.26108233108520507,0.33136760253906244,0.3962944927215576,0.46655638961791984,0.5347424713134765,0.603983526611328,0.6124206630706786,0.6757724647521972,1.0129574584960928,0.14673510742187523,0.2679475410461429,0.2529782958984378,0.2499859031677249,0.26067072601318386,0.23386417007446314,0.18785076599121114,0.15563693389892594,0.11320261230468762,0.0670249473571778
Hour 18,0.09081973304748533,0.18055689315795895,0.253839060974121,0.3248756881713867,0.3943328018188476,0.4442614311218261,0.5096416538238525,0.5742924682617186,0.5972556129455565,0.6237254371643065,3.779744377136229,0.32402532196044964,0.29979558792114297,0.311497174072266,0.27962881393432654,0.2550858169555667,0.23149517822265653,0.19469428100585962,0.1519258621215822,0.10281650085449232,0.06414640197753914
Hour 19,0.09156618690490724,0.1815977020263672,0.26879687118530277,0.35142004394531257,0.42085083007812507,0.48930717086791997,0.5404743595123292,0.6171324615478517,0.684406665802002,0.6244093513488771,2.5796428680419936,0.293104591369629,0.3329583892822267,0.3329973144531252,0.34200251388549824,0.29613947296142595,0.2649518203735353,0.2225567779541017,0.18599551391601574,0.13043274688720713,0.07835802459716802
Hour 20,0.10340163230895996,0.19942882537841797,0.2837815475463867,0.375440673828125,0.4612151145935059,0.5494099044799804,0.6397118377685548,0.7164373779296875,0.7761591053009033,0.7544137001037599,2.7994384765625,0.12644233703613292,0.18418579101562516,0.16440795898437516,0.175411891937256,0.15252319335937514,0.15047903060913098,0.20549667358398455,0.17288085937500014,0.12684547424316417,0.07025238037109381
Hour 21,0.11838839073181152,0.23670250930786133,0.3488562446594238,0.4583696563720703,0.5715430030822753,0.6820580017089843,0.778919998550415,0.8556960693359374,0.9109625118255614,0.9810647506713868,2.8270583343505855,0.3645226364135734,0.14459122009277262,0.12493305053710951,0.11201621398925794,0.12474383239746108,0.10727426910400402,0.08803895874023447,0.07522403182983406,0.053232316589355524,0.09172951202392586
Hour 22,0.15346475601196288,0.24723447799682619,0.36708675384521483,0.4840399169921875,0.5940653800964356,0.6839481353759765,0.7969174385070802,0.858545379638672,0.949383201599121,0.8574972152709961,4.526264190673828,0.5857700347900391,0.018670063018798845,0.033806304931640656,0.03905389785766605,0.036693992614746124,0.03480081558227542,0.028862228393554713,0.05794481277465825,0.03984085083007816,0.07112689971923834
Hour 23,0.13981639747619629,0.2640702606201172,0.3730547012329101,0.49537440795898435,0.6018831672668457,0.7096635177612304,0.8137349716186524,0.9216893676757811,0.9405133621215819,0.7609833602905273,6.60652244567871,9.64950091552734,3.4016827209472638,2.251114892578123,2.1307217964172342,2.103286540222166,1.5699158821105936,1.0214268920898417,0.5059909950256328,0.41093565216064254,0.0008955871582031357
Hour 24,0.14412462158203126,0.2879286369323731,0.4181759239196778,0.5398385971069337,0.6433583698272707,0.7590403701782227,0.8747957843780519,0.9467848144531251,1.0445719173431398,1.0868538780212404,5.315210266113283,3.9685757141113314,3.0805255004882843,3.078303076171878,3.055937486267093,2.7120620391845733,2.6501562538147003,2.217830050659183,2.132424299621585,1.984422189331058,1.7947491653442416
